Nombre,Partido,Designación,Congreso,Senado,Legislaturas
"Aragonés Mendiguchía, Carlos",PP,Madrid,"7 (V, VI, VII, VIII, IX, X, XIV)","2 (XI, XII)",9
"Arahuetes Portero, María Soledad †",UCD,Cuenca,1 (I),–,1
"Aramburu del Río, María Jesús",IU,Sevilla,1 (VI),–,1
"Arana Álvarez, María del Carmen",PSOE,La Rioja,–,1 (XIII),1
"Arana i Pelegrí, Joaquim †",PDC,Lérida,1 (C),–,1
"Arance Soto, Enrique †",PP,Almería / Parlamento de Andalucía,–,"3 (IV, V, VI)",3
"Aranda Álvarez, Elviro",PSOE,Madrid,"2 (VIII, IX)",–,2
"Aranda Lassa, José Manuel",PP,Zaragoza,–,1 (XIV),1
"Aranda Vargas, Francisco",PSC-PSOE,Barcelona,"2 (XIII, XIV)",–,2
"Aránega Jiménez, Antonia",PSOE,Granada,–,"2 (VII, VIII)",2
"Arangüena Fernández, Pablo",PSdeG-PSOE,La Coruña,"2 (XIII, XIV)",–,2
"Araújo Gil, Rogelio †",PP,Baleares,1 (X),–,1
"Araujo Morales, Gemma",PSOE,Cádiz,1 (XIV),–,1
"Arauz Rivero, Miguel Ángel",PP,Sevilla,–,1 (IX),1
"Arbeloa Muru, Víctor Manuel",PSOE,Navarra,–,"2 (I, II)",2
"Arce Martínez, José Luis de",UCD,Zaragoza,1 (I),–,1
"Arce Molina, Juana",UCD,Albacete,1 (I),1 (C),2
"Ardaiz Egüés, Pedro José",PSOE,Navarra,–,"4 (III, IV, V, VI)",4
"Ardanuy Costa, Flor",PSOE,Huesca,–,1 (IV),1
"Ardanza Uribarren, María Pilar",PNV,Vizcaya,1 (XI),–,1
"Areilza y Martínez de Rodas, José María de †",CD,Madrid,1 (I),–,1
"Arenas Bocanegra, Francisco Javier",PP,Sevilla / Parlamento de Andalucía,"4 (IV, V, VII, VIII)","8 (V, VI, IX, X, XI, XII, XIII, XIV)",12
"Arenas del Buey, Fernando †",UCD,Jaén,–,1 (I),1
"Arenas Ferriz, Alfonso",PSOE,Cortes Valencianas,–,"2 (III, IV)",2
"Arenas Martos, Manuel",PSOE,Parlamento de Andalucía,–,"2 (III, IV)",2
"Ares Martínez-Fortún, María de la O",PP,Baleares,1 (X),–,1
"Arespacochaga y Felipe, Juan de †","Independiente, AP-PDP, CP","Designación real, Madrid",–,"3 (C, II, III)",3
"Aresti y Victoria de Lecea, Pilar de",PP,Vizcaya,–,1 (VII),1
"Arévalo Araya, María del Mar",PP,Las Palmas,1 (VII),–,1
"Arévalo Caraballo, María Teresa",UP,Albacete,1 (XII),–,1
"Arévalo Santiago, Juan Antonio",PSOE,Valladolid,–,"6 (I, II, III, IV, V, VI)",6
"Argany Fajardo, Álvaro",PSOE,Santa Cruz de Tenerife,1 (IV),–,1
"Argüeso Torres, Emilio",C's,Cortes Valencianas,–,"2 (XIII, XIV)",2
"Arguilé Laguarta, Gonzalo",PSOE,"Zaragoza, Huesca",–,"4 (II, III, IV, V)",4
"Arias Cañete, Miguel","AP-PDP, PP","Cádiz, Madrid","3 (VIII, IX, X)","2 (II, VII)",5
"Arias Navia, Mario","PP, PP-FORO",Asturias,–,"3 (X, XI, XII)",3
"Arias Rodríguez, Raquel",PP,Lugo,1 (IX),–,1
"Arias Solís, Francisco",PSOE,Cádiz,–,"2 (II, III)",2
"Arias-Salgado Montalvo, Rafael","UCD, CDS, PP","Toledo, Madrid","6 (C, I, IV, V, VI, VII)",–,6
"Arija Hernández, Alfredo",PSOE,Toledo,–,"3 (III, IV, V)",3
"Ariño Ortiz, Gaspar",PP,Valencia,1 (IV),–,1
"Arístegui y San Román, Gustavo Manuel de",PP,"Guipúzcoa, Ciudad Real, Zamora","3 (VII, VIII, IX)",–,3
"Aristizábal Recarte, Fernando †",PNV,Vizcaya,1 (I),–,1
"Ariznavarreta Esteban, Ignacio Javier",PP,Burgos,–,1 (VI),1
"Ariztegui Larrañaga, Maite",Amaiur,Guipúzcoa,1 (X),–,1
"Arjona Santana, Manuel",PSOE,Málaga,–,"4 (VI, VII, VIII, IX)",4
"Armario Vázquez, Juan Manuel",PP,Cádiz,–,1 (VI),1
"Armas Dárias, Erasmo Juan Manuel †",PSOE,Santa Cruz de Tenerife,1 (VIII),–,1
"Armas García, Alberto de †",PSOE,Tenerife (Santa Cruz de Tenerife),–,"5 (C, I, II, III, IV)",5
"Armas Pérez, José Francisco",PSOE,El Hierro (Santa Cruz de Tenerife),–,1 (III),1
"Armas Pérez, Melissa",CC-AHI-NC,El Hierro (Santa Cruz de Tenerife),–,1 (X),1
"Armas Rodríguez, Cándido","CC (PIL-AIC), PIL",Lanzarote (Las Palmas),–,"2 (V, VI)",2
"Armendáriz Ormaechea, Jesús Felipe †",PSC-PSOE,Barcelona,–,1 (II),1
"Armengol i Carrera, Josep",PSC-PSOE,Lérida,–,1 (III),1
"Armengol Criado, María Antonia de",PSOE,Valencia,1 (VIII),–,1
"Armet i Coma, Joan Josep",IC,Barcelona,"2 (IV, V)",–,2
"Armet i Coma, Lluís",PSC-PSOE,Parlamento de Cataluña,–,"3 (V, VI, VII)",3
"Armisén Pedrejón, María de los Ángeles",PP,Palencia,–,1 (X),1
"Arnáiz García, María del Mar",PSOE,Burgos,"3 (VIII, IX, X)","2 (XIII, XIV)",5
